-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  5 14 29.517 0.020  11.09  41.98  992.85  2.969  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 15 20.652 0.953  13.43  47.04  989.37  2.240  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 16  7.723 0.915  15.13  71.63  985.07  2.294  0.949    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 17 27.661 0.557  17.46  63.09  987.73  1.846  0.097    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 18 26.276 0.936  18.86  71.53  983.90  2.555  3.874    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 19 22.332 0.719  19.22  72.04  974.32  4.485  0.596    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 20 22.913 0.632   8.87  49.37  976.82  5.297  0.025    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 21 24.346 0.626  11.65  53.48  976.37  3.643  0.298    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 22 25.720 0.399   6.32  57.28  980.43  3.886  2.146    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 23 29.426 0.241   7.88  47.10  988.90  4.650  0.093    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 24 26.374 0.421  17.09  46.86  984.86  4.443  0.164    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 25  8.382 0.999  15.43  78.74  985.51  2.841 21.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 26 20.746 0.861  21.02  77.60  981.96  4.762  4.144    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 27 17.498 0.733  21.87  76.20  981.19  4.216  2.322    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 28 18.167 0.532  17.80  77.07  985.51  3.320  3.702    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 29 28.263 0.637  16.49  67.29  990.73  2.101  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 30 21.287 0.761  19.23  81.30  980.68  4.383 12.703    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 31 19.137 0.999   9.76  66.56  990.46  3.351  4.690    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  1 21.439 0.797  11.64  61.74  991.99  4.237  0.319    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  2  6.270 0.797   8.15  86.78  990.29  2.949  6.434    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
