"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"93",2017,9,14,19.066,0.066,18.41,79.4,978.07,1.352,0,2017-09-14,"257",254,123,306,"buoy","lf"
"94",2017,9,15,18.575,0.06,17.84,78.81,985.38,1.984,0.054,2017-09-15,"258",254,123,306,"buoy","lf"
"95",2017,9,16,18.047,0.164,19.05,79.8,987.79,2.084,0,2017-09-16,"259",254,123,306,"buoy","lf"
"96",2017,9,17,17.123,0.156,19.51,79.89,987.12,2.198,0.001,2017-09-17,"260",254,123,306,"buoy","lf"
"97",2017,9,18,17.229,0.519,18.53,81.03,986.76,1.37,0.002,2017-09-18,"261",254,123,306,"buoy","lf"
"98",2017,9,19,13.059,0.634,19.4,87.01,985.52,1.477,1.706,2017-09-19,"262",254,123,306,"buoy","lf"
"99",2017,9,20,13.466,0.469,18.62,84.01,985.31,2.563,0.164,2017-09-20,"263",254,123,306,"buoy","lf"
"100",2017,9,21,18.422,0.103,16.53,69.55,988.14,2.298,0,2017-09-21,"264",254,123,306,"buoy","lf"
"101",2017,9,22,17.861,0.014,17.24,71.74,987.71,1.715,0,2017-09-22,"265",254,123,306,"buoy","lf"
"102",2017,9,23,14.474,0.326,20.51,75.41,984.49,2.449,0.603,2017-09-23,"266",254,123,306,"buoy","lf"
"103",2017,9,24,16.141,0.375,23.28,79.05,984.66,2.584,0.243,2017-09-24,"267",254,123,306,"buoy","lf"
"104",2017,9,25,17.119,0.255,23.33,73.52,984.83,2.484,0.007,2017-09-25,"268",254,123,306,"buoy","lf"
"105",2017,9,26,15.747,0.458,22.98,74.58,982.35,2.07,0.355,2017-09-26,"269",254,123,306,"buoy","lf"
"106",2017,9,27,12.693,0.712,20.35,85.39,975.85,3.761,2.926,2017-09-27,"270",254,123,306,"buoy","lf"
"107",2017,9,28,12.749,0.542,10.7,64.99,979.6,4.32,0.008,2017-09-28,"271",254,123,306,"buoy","lf"
"108",2017,9,29,11.71,0.6,7.48,73.22,984.41,2.081,0.069,2017-09-29,"272",254,123,306,"buoy","lf"
"109",2017,9,30,15.836,0.325,7.91,63.77,991.68,2.61,0.005,2017-09-30,"273",254,123,306,"buoy","lf"
"110",2017,10,1,16.818,0.071,8.88,70.16,992.58,3.262,0,2017-10-01,"274",254,123,306,"buoy","lf"
